Training Accurary (%),Validation Accuracy (%),Training Loss,Validation Loss
0,0,0,0
0.3333333432674408,0.125,1.852652907371521,2.02034330368042
0.3333333432674408,0.125,1.721038818359375,1.933118224143982
0.3333333432674408,0.125,1.6534754037857056,1.8496103286743164
0.3333333432674408,0.125,1.6833657026290894,1.7714842557907104
0.3333333432674408,0.125,1.6246857643127441,1.7020446062088013
0.3589743673801422,0.125,1.5324851274490356,1.6423426866531372
0.3076923191547394,0.125,1.4334360361099243,1.5941367149353027
0.3333333432674408,0.125,1.496458888053894,1.5520331859588623
0.4871794879436493,0.125,1.4540678262710571,1.523066520690918
0.3333333432674408,0.125,1.4875214099884033,1.49872887134552
0.3333333432674408,0.125,1.5769580602645874,1.405333399772644
0.28205129504203796,0.125,1.6069762706756592,1.4300858974456787
0.43589743971824646,0.125,1.5142215490341187,1.445619821548462
0.38461539149284363,0.125,1.5003225803375244,1.4412223100662231
0.3076923191547394,0.125,1.5129386186599731,1.430484414100647
0.3076923191547394,0.125,1.5355380773544312,1.4191867113113403
0.28205129504203796,0.125,1.4889360666275024,1.4084014892578125
0.3589743673801422,0.375,1.4454816579818726,1.397078275680542
0.5128205418586731,0.75,1.388024926185608,1.3866692781448364
0.3076923191547394,0.75,1.4594395160675049,1.382036566734314
0.3333333432674408,0.125,1.5891637802124023,1.6817001104354858
0.38461539149284363,0.125,1.5674734115600586,1.6273256540298462
0.3076923191547394,0.125,1.5276734828948975,1.5761981010437012
0.38461539149284363,0.125,1.4644454717636108,1.5365550518035889
0.3333333432674408,0.125,1.4953718185424805,1.5205000638961792
0.38461539149284363,0.25,1.4575711488723755,1.50917387008667
0.41025641560554504,0.125,1.4477595090866089,1.5016616582870483
0.41025641560554504,0.125,1.4333678483963013,1.505110263824463
0.3076923191547394,0.125,1.4505857229232788,1.505932092666626
0.38461539149284363,0.125,1.4245452880859375,1.4971330165863037
0.28205129504203796,0.125,1.5079593658447266,1.6219840049743652
0.3589743673801422,0.125,1.4653524160385132,1.5892651081085205
0.3076923191547394,0.125,1.4923065900802612,1.5660884380340576
0.3589743673801422,0.125,1.4519493579864502,1.5515564680099487
0.4615384638309479,0.125,1.4022711515426636,1.5388494729995728
0.43589743971824646,0.125,1.4357541799545288,1.5292142629623413
0.4615384638309479,0.125,1.4160115718841553,1.5188426971435547
0.3589743673801422,0.125,1.4401129484176636,1.508147120475769
0.41025641560554504,0.125,1.4285997152328491,1.504223108291626
0.43589743971824646,0.125,1.408722162246704,1.505479097366333
0.28205129504203796,0.125,1.6030710935592651,1.6746405363082886
0.3333333432674408,0.125,1.5726722478866577,1.6366075277328491
0.43589743971824646,0.125,1.4505887031555176,1.606394648551941
0.3076923191547394,0.125,1.4772504568099976,1.5794947147369385
0.41025641560554504,0.125,1.5186535120010376,1.561908483505249
0.3589743673801422,0.125,1.449452519416809,1.547066330909729
0.23076923191547394,0.125,1.525195598602295,1.5336400270462036
0.3333333432674408,0.125,1.4650503396987915,1.5246036052703857
0.3589743673801422,0.25,1.4575319290161133,1.5119528770446777
0.41025641560554504,0.25,1.448676586151123,1.4997215270996094
0.3076923191547394,0.75,1.442788004875183,1.4236024618148804
0.25641027092933655,0.75,1.5268115997314453,1.408349871635437
0.3076923191547394,0.75,1.4980640411376953,1.4003788232803345
0.38461539149284363,0.75,1.4659290313720703,1.3980445861816406
0.28205129504203796,0.75,1.4559879302978516,1.3960520029067993
0.38461539149284363,0.75,1.470379114151001,1.3999757766723633
0.38461539149284363,0.75,1.4345248937606812,1.4108154773712158
0.3589743673801422,0.75,1.4506351947784424,1.4251670837402344
0.5384615659713745,0.375,1.3815326690673828,1.440492033958435
0.28205129504203796,0.25,1.5163732767105103,1.4576386213302612
